date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:46	167401/167401	---M--	200	added ('OK')	image/jpeg	etag:%2261339e8c-28de9%22	https://templates.acrothemes.com/wexim/images/iphone-slide1.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/iphone-slide1.jpg	(from https://templates.acrothemes.com/wexim/index.html)
00:36:46	119006/119006	---M--	200	added ('OK')	image/jpeg	etag:%2261339e86-1d0de%22	https://templates.acrothemes.com/wexim/images/iphone-slide2.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/iphone-slide2.jpg	(from https://templates.acrothemes.com/wexim/index.html)
00:36:46	18420/18420	---MCZ	200	added ('OK')	text/html	etag:W/%226133a0d8-47f4%22	https://templates.acrothemes.com/wexim/blog-left.html	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/blog-left.html	(from https://templates.acrothemes.com/wexim/index.html)
00:36:47	34875/34875	---M--	200	added ('OK')	image/jpeg	etag:%2261339a16-883b%22	https://templates.acrothemes.com/wexim/images/blog-image1.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/blog-image1.jpg	(from https://templates.acrothemes.com/wexim/index.html)
00:36:47	19224/19224	---MCZ	200	added ('OK')	text/html	etag:W/%226133a0d4-4b18%22	https://templates.acrothemes.com/wexim/blog-right.html	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/blog-right.html	(from https://templates.acrothemes.com/wexim/index.html)
00:36:47	106012/106012	---M--	200	added ('OK')	image/jpeg	etag:%2261339e88-19e1c%22	https://templates.acrothemes.com/wexim/images/iphone-slide3.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/iphone-slide3.jpg	(from https://templates.acrothemes.com/wexim/index.html)
00:36:48	71533/71533	---M--	200	added ('OK')	image/jpeg	etag:%2261339a20-1176d%22	https://templates.acrothemes.com/wexim/images/blog-image2.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/blog-image2.jpg	(from https://templates.acrothemes.com/wexim/index.html)
00:36:48	86926/86926	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a058-1538e%22	https://templates.acrothemes.com/wexim/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/jquery-3.3.1.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:48	18556/18556	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a064-487c%22	https://templates.acrothemes.com/wexim/js/popper.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/popper.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:48	78420/78420	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a054-13254%22	https://templates.acrothemes.com/wexim/js/bootstrap.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/bootstrap.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:49	4194/4194	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a058-1062%22	https://templates.acrothemes.com/wexim/js/jquery.appear.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/jquery.appear.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:49	40867/40867	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a054-9fa3%22	https://templates.acrothemes.com/wexim/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/isotope.pkgd.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:49	81239/81239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a05a-13d57%22	https://templates.acrothemes.com/wexim/js/jquery.cubeportfolio.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/jquery.cubeportfolio.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:50	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a060-a70e%22	https://templates.acrothemes.com/wexim/js/owl.carousel.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/owl.carousel.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:50	1014/1014	---M--	200	added ('OK')	application/javascript	etag:%226133a05c-3f6%22	https://templates.acrothemes.com/wexim/js/morphext.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/morphext.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:50	25975/25975	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a062-6577%22	https://templates.acrothemes.com/wexim/js/particles.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/particles.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:51	714/714	---M--	200	added ('OK')	application/javascript	etag:%226133a060-2ca%22	https://templates.acrothemes.com/wexim/js/parallaxie.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/parallaxie.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:51	56764/56764	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a05c-ddbc%22	https://templates.acrothemes.com/wexim/js/jquery.fancybox.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/jquery.fancybox.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:51	8473/8473	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a066-2119%22	https://templates.acrothemes.com/wexim/js/wow.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/wow.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:52	107979/107979	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a066-1a5cb%22	https://templates.acrothemes.com/wexim/js/TweenMax.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/js/TweenMax.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:52	110419/110419	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a0a8-1af53%22	https://templates.acrothemes.com/wexim/rs-plugin/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/js/jquery.themepunch.tools.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:52	64943/64943	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a0a4-fdaf%22	https://templates.acrothemes.com/wexim/rs-plugin/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/js/jquery.themepunch.revolution.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:52	8322/8322	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a09c-2082%22	https://templates.acrothemes.com/wexim/rs-plugin/js/extensions/revolution.extension.actions.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/js/extensions/revolution.extension.actions.min.js	(from https://templates.acrothemes.com/wexim/index.html)
00:36:53	7601/7601	---MCZ	200	added ('OK')	application/javascript	etag:W/%226133a09c-1db1%22	https://templates.acrothemes.com/wexim/rs-plugin/js/extensions/revolution.extension.carousel.min.js	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/js/extensions/revolution.extension.carousel.min.js	(from https://templates.acrothemes.com/wexim/index.html)
